geoid,namelsad,aland,awater,totpop2020,hhpop2020,gqpop2020,hh2020,avhhsize20,hu2020,vacrate202,hislat2020,whitenh202,blacknh202,ainh2020,asnh2020,hipinh2020,othernh202,twoplsnh20,,
42101980200,Census Tract 9802,4916641,250846,336,89,247,13,6.85,13,0,23,274,32,2,3,0,0,2,,
42101980400,Census Tract 9804,2954730,11766,0,0,0,0,-88888,0,-88888,0,0,0,0,0,0,0,0,,
42101980500,Census Tract 9805,416088,0,2,2,0,0,-88888,1,100,2,0,0,0,0,0,0,0,,
42101980600,Census Tract 9806,1286762,0,2,2,0,1,2,1,0,2,0,0,0,0,0,0,0,,
42101980901,Census Tract 9809.01,11195484,2536678,44,44,0,20,2.2,23,13,6,4,25,0,6,0,0,3,,
42101980902,Census Tract 9809.02,132548,50536,0,0,0,0,-88888,0,-88888,0,0,0,0,0,0,0,0,,
42101980903,Census Tract 9809.03,171154,0,6,6,0,2,3,2,0,2,0,3,0,0,0,0,1,,
42101980904,Census Tract 9809.04,1570844,158459,1,1,0,2,0.5,2,0,0,0,0,0,0,0,0,1,,
42101980905,Census Tract 9809.05,884500,195611,0,0,0,0,-88888,0,-88888,0,0,0,0,0,0,0,0,,
42101980906,Census Tract 9809.06,2945390,383112,0,0,0,0,-88888,0,-88888,0,0,0,0,0,0,0,0,,
